Username,First name,Last name,Display name,Job title,Department,Office number,Office phone,Mobile phone,Fax,Alternate email address,Address,City,State or province,ZIP or postal code,Country or region
user01@1xyj7c.onmicrosoft.com,user01,user01,user01,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user02@1xyj7c.onmicrosoft.com,user02,user02,user02,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user03@1xyj7c.onmicrosoft.com,user03,user03,user03,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user04@1xyj7c.onmicrosoft.com,user04,user04,user04,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user05@1xyj7c.onmicrosoft.com,user05,user05,user05,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user06@1xyj7c.onmicrosoft.com,user06,user06,user06,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user07@1xyj7c.onmicrosoft.com,user07,user07,user07,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user08@1xyj7c.onmicrosoft.com,user08,user08,user08,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user09@1xyj7c.onmicrosoft.com,user09,user09,user09,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user10@1xyj7c.onmicrosoft.com,user10,user10,user10,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user11@1xyj7c.onmicrosoft.com,user11,user11,user11,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user12@1xyj7c.onmicrosoft.com,user12,user12,user12,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user13@1xyj7c.onmicrosoft.com,user13,user13,user13,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user14@1xyj7c.onmicrosoft.com,user14,user14,user14,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user15@1xyj7c.onmicrosoft.com,user15,user15,user15,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user16@1xyj7c.onmicrosoft.com,user16,user16,user16,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user17@1xyj7c.onmicrosoft.com,user17,user17,user17,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user18@1xyj7c.onmicrosoft.com,user18,user18,user18,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user19@1xyj7c.onmicrosoft.com,user19,user19,user19,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user20@1xyj7c.onmicrosoft.com,user20,user20,user20,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user21@1xyj7c.onmicrosoft.com,user21,user21,user21,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user22@1xyj7c.onmicrosoft.com,user22,user22,user22,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
user23@1xyj7c.onmicrosoft.com,user23,user23,user23,IT Student,SDV Paris,123451,123-555-1211,123-555-6641,123-555-9821,formateur_Thibault.gibard@supdevinci-edu.fr,1 Microsoft way,Redmond,Wa,98052,United States
